Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
Budaya Memelihara Sapi Kerapan Pada Masyarakat Madura : Refleksi nilai Ekonomis dan Prestise Pemilik (Tinjauan Etnografis dari sisi Pengelolaan Keuangan),Penulis : Agnes Sintia Debby,"Dosen Pembimbing I : Robiatul Auliyah, SE., MSA","Dosen Pembimbing II :Achdiar Redy Setiawan, SE., MSA., Ak ., CA","Peneliti ini bertujuan untuk mengungkap budaya memelihara sapi
kerapan pada masyarakat Madura dalam merefleksi nilai ekonomis dan prestise
pemilik ditinjau dari sisi pengelolaan keuangan. Peneliti lebih terfokus pada
pengelolaan keuangan yang dimulai dari tahap perencanaan, tahap pelaksanaan
dan tahap pencatatan untuk memelihara sapi kerapan.
Jenis penelitian ini adalah penelitian kualitatif dengan menggunakan
pendekatan etnografi. Hasil penelitian menunjukkan bahwa lebih terfokus pada
pengelolaan keuangan yang dimulai dari tahap perencanaan, tahap pelaksanaan
dan tahap pencatatan untuk memelihara sapi kerapan.Yang pertama, sapi
kerapan pada tahap perencanaan sebagai refleksi nilai ekonomis, Masa umur
produktif hingga habis masa umur produktif sapi merupakan nilai ekonomis dari
sapi kerap dimana terdapat pengelolaan keuangan didalamnya dengan biayabiaya yang dikeluarkan setiap hari mulai dari modal awal, segi perawatan, hingga
gaji pekerja, Kedua, Sapi kerapan pada tahap pelaksanaan sebagai refleksi
prestise pemilik sapi. ketika pelaksanaan lomba ajang pesta rakyat pemilik sapi
yang mengikuti lomba merasa akan status kedudukan tinggi karena masyarakat
Madura percaya orang yang memiliki sapi kerap adalah orang yang berlimpah
materi.Ketiga, Keiga, Pencatatan biaya pemeliharaan sapi kerap berbasis
âkepercayaanâ. Orang yang dipercaya pada intinya tidak melakukan pencatatan
khusus dalam mengeluarkan biaya karena pemilik sapi mempercayakan
sepenuhnya kepada orang yang dititipkan, hanya saja orang yang dipercaya
tersebut mencatatnya diluar kepala sehingga bentuk laporan yang diberikan
kepada pemilik sapi hanya berupa ingatan dan kemudian disampaikan biayabiaya apa saja yang dikeluarkan setiap hari.
Kata Kunci : Budaya Sapi Kerapan, Masyarakat Madura, Nilai Ekonomis,
Prestise Pemilik, Etnografis, Pengelolaan Keuangan."
Pengaruh intellectual capital dan intellectual capital disclosure terhadap nilai perusahaan dengan kinerja keuangan sebagai variabel intervening,Penulis : Maharani Agustin,"Dosen Pembimbing I : Fariyana Kusumawati, S.E., M.Si","Dosen Pembimbing II :Yuni Rimawati, S.E., M.SAk., Ak., CA","       Penelitian ini bertujuan untuk mengetahui pengaruh intellectual capital dan intellectual capital disclosure terhadap nilai perusahaan dengan melalui kinerja keuangan sebagai variabel intervening. Variabel independen yang digunakan dalam penelitian ini adalah intellectual capital yang diukur dengan value added intellectual coefficient (VAICTM), dan inttellectual capital disclosure yang diukur dengan framework ICD-in. Variabel dependen yang digunakan dalam penelitian ini adalah nilai perusahaan yang diukur dengan price-to book value (PBV), sedangkan kinerja keuangan digunakan sebagai variabel intervening diukur dengan return on asset (ROA)
       Sampel yang digunakan dalam penelitian ini berjumlah 64 perusahaan yang terdaftar di LQ45 selama tahun 2012-2015. Sampel ini dipilih dengan menggunakan metode purposive sampling. Berdasarkan kriteria tersebut maka sebanyak 16 perusahaan terpilih sebagai sampel dalam penelitian ini. Alat analisis yang digunakan adalah analisis regresi berganda dengan software Statistical Package for Social Science (SPSS) 21.
       Hasil penelitian menunjukkan bahwa intellectual capital dan intellectual capital disclosure berpengaruh terhadap kinerja keuangan. Intellectual capital dan intellectual capital disclosure berpengaruh secara langsung terhadap nilai perusahaan. Selanjutnya kinerja keuangan berpengaruh terhadap nilai serta perusahaan intellectual capital dan .intellectual capital disclosure berpengaruh terhadap nilai perusahaan dengan melalui kinerja keuangan.

Kata kunci :  intellectual capital, intellectual capital disclosure, kinerja keuangan, nilai perusahaan."
"ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI PENGAMBILAN KEPUTUSAN LINDUNG NILAI (HEDGING) DENGAN MENGGUNAKAN INSTRUMEN DERIVATIF
(Studi Empiris Pada Perusahaan Manufaktur Yang Terdaftar di Bursa Efek Ind",Penulis : NENY SAFITRI,"Dosen Pembimbing I : Dr.Rita Yuliana, S.E., MSA., Ak., CA ","Dosen Pembimbing II :Anis Wulandari, S.E., MSA., Ak., CA. ","Neny Safitri, Analisis Faktor-faktor Yang Mempengaruhi Pengambilan Keputusan Lindung Nilai (Hedging) Dengan Menggunakan Instrumen Derivatif (Studi Empiris Pada Perusahaan Manufaktur yang Terdaftar di BursaEfek Indonesia Periode 2012-2015). Di bawah bimbingan Dr.Rita Yuliana, S.E., MSA., Ak., CA and Anis Wulandari, S.E., MSA., Ak., CA. 
Instrumen derivatif seringkali digunakan perusahaan untuk aktivitas hedging risiko nilai tukar mata uang asing. Penelitian ini bertujuan untuk menguji pengaruh debt to equity ratio, Growth Opportunity, Liquidity, financial distress, dan managerial ownership terhadap probabilitas kebijakan hedging.
Penelitian ini dilakukan dengan sampel sebanyak 39 perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia periode tahun 2012-2015 yang dipilih dengan teknik purposive sampling. Data yang digunakan merupakan data sekunder yang berasal dari laporan keuangan tahunan perusahaan yang dipublikasikan pada website Bursa Efek Indonesia. Teknik analisis regresi logistik digunakan untuk mengetahui pengaruh variabel independen penelitian terhadap probabilitas kebijakan hedging
Hasil penelitian membuktikan bahwa debt to equity ratio, growth opportunity, financial distress, dan managerial ownership berpengaruh tidak signifikan terhadap probabilitas kebijakan hedging. Liquidity berpengaruh negatif dan signifikan terhadap probabilitas kebijakan hedging. Nilai Nagelkerkeâs R Square untuk penelitian ini sebesar 10%. Ini berarti sebesar 90% dijelaskan oleh variabel lain di luar model

Kata kunci: Hedging,  Risiko Nilai Tukar, Instrumen Derivatif, Regresi Logistik
"
"ANALISA PENERAPAN BIAYA LINGKUNGAN PADA PROSES PENGELOLAAN LIMBAH DI RSUD Dr. H. MOH. ANWAR 
KABUPATEN SUMENEP
",Penulis : BAYU SUDARWADI,"Dosen Pembimbing I : Dr. SITI MUSYAROFAH, S.E., M.Si., Ak., CA","Dosen Pembimbing II :ADI DERMAWAN ERVANTO, S.E., MA., Ak., CA","Penelitian ini bertujuan untuk mengetahui penerapan biaya lingkungan yang dilakukan oleh Rumah Sakit Dr. H. Moh Anwar Kabupaten Sumenep. Selain itu, penelitian ini juga bertujuan untuk mengetahui proses pengolahan limbah di rumah sakit tersebut. Penelitian ini dilakukan di Rumah Sakit Dr. H. Moh Anwar Kabupaten Sumenep. Dengan menggunakan analisis kualitatif deskriptif, penelitian ini menyimpulkan bahwa RSUD Dr. Moh Anwar telah melakukan pencatatan aktivitas terkait lingkungan namun belum melakukan pengelompokan biaya kedalam empat aktivitas yaitu aktivitas pencegahan, deteksi, kegagalan internal serta kegagalan eksternal. Pengolahan limbah di RSUD Dr. Moh. Anwar telah dilakukan dengan cukup baik, terbukti tidak adanya biaya kegagalan eksternal. Penelitian ini diharapkan memberikan kontribusi bagi RSUD Dr. Moh. Anwar agar mengalokasikan biaya yang lebih banyak pada aktivitas pencegahan dan deteksi dalam hal pengelolaan lingkungan sehingga aktivitas kegagalan internal dapat diminimalkan.

Kata Kunci: akuntansi lingkungan, pengolahan limbah, analisis deskriptif kualitatif,   laporan biaya lingkungan.
"
ANALISIS PENENTUAN NISBAH BAGI HASIL TERHADAP PRODUK PEMBIAYAAN MODAL USAHA BAROKAH (MUB) AKAD MUDHARABAH PADA KSPS BMT UGT SIDOGIRI CABANG TANAH MERAH BANGKALAN,Penulis : Hotimatus Saâadah,Dosen Pembimbing I : M. Nizarul Alim,Dosen Pembimbing II :Robiatul Auliyah,"Tujuan dari penelitian ini untuk menentukan nisbah bagi hasil terhadap produk pembiayaan Modal Usaha Barokah (MUB) pada KSPS BMT UGT Sidogiri Cabang Tanah  Merah Bangkalan. Dengan latar belakang Pembagian hasil usaha diantara para pihak (mitra) dalam suatu bentuk usaha kerjasama boleh didasarkan pada prinsip profit sharing, yaitu bagi hasil yang dihitung dari pendapatan setelah dikurangi biaya pengelolaan dana.  
Penelitian ini menggunakan metode penelitian kualitatif dengan jenis penelitian field research. Teknik pengumpulan data dalam penelitian ini melalui observasi, wawancara dan dokumentasi. Penelitian ini menggunakan pendekatan deskriptif yaitu pengumpulan data dengan cara mengambil data berupa kata-kata, gambar, dokumen, transkip wawancara dan semua data yang diperoleh  di KSPS BMT UGT Sidogiri Cabang Tanah Merah Bangkalan.
 Berdasarkan hasil penelitian di lapangan bahwasanya penentuan nisbah bagi hasil pada produk pembiayaan Modal Usaha Barokah (MUB) di KSPS BMT UGT Sidogiri Cabang Tanah Merah berdasarkan kesepakatan pihak-pihak yang bekerjasama yaitu antara BMT dan anggota. Adapun faktor yang dipertimbangkan dalam menentukan nisbah bagi hasil produk pembiayaan Modal Usaha Barokah (MUB) dilihat dari limit pembiayaan, prospek usaha, pangsa pasar dan pendapatan anggota. Sedangkan Metode perhitungan nisbah bagi hasil produk pembiayaan Modal Usaha Barokah (MUB) yang digunakan adalah metode revenue sharing.

Kata kunci: Nisbah, Bagi Hasil, Pembiayaan dan Modal Usaha."
"PENGARUH CORPORATE GOVERNANCE,         UKURAN PERUSAHAAN DAN RETURN ON ASSET       TERHADAP TAX PADA PERUSAHAAN MANUFAKTUR      PERIODE 2012-2015 DI BURSA EFEK INDONESIA",Penulis : Djunaidi Abdillah,"Dosen Pembimbing I : Junaidi, SE, M.Si, Ak., CA.","Dosen Pembimbing II :Gita Arasy Harwida, SE., Mtax., Ak,. QIA.CA.","ABSTRAK
 
 Penelitian ini bertujuan memperoleh bukti empiris tentang pengaruh dewan komisaris independen, komite audit, kepemilikan institusional, kualitas audit, ukuran perusahaan dan return on asset terhadap tax avoidance. Data penelitian berupa data sekunder berupa laporan keuangan tahun 2012-2015 perusahaan manufaktur yang terdaftar di BEI. Teknik sampling menggunakan purposive sampling dan pengujian hipotesis menggunakan analisis linier berganda dengan bantuan SPSS versi 17. Hasil penelitian menunjukkan bahwa variabel dewan komisaris independen, komite audit, kepemilikan institusional dan kualitas audit tidak berpengaruh signifikan terhadap tax avoidance. Namun ukuran perusahaan dan return on asset berpengaruh signifikan terhadap tax avoidance. 

Kata kunci: Corporate Governance, Ukuran Perusahaan, Return On Asset, Tax Avoidance
"
"PENGARUH KEADILAN PAJAK, SISTEM PERPAJAKAN, DAN DISKRIMINASI TERHADAP TINDAKAN PENGGELAPAN PAJAK (TAX EVASION) DI KABUPATEN BANGKALAN 
(STUDI KASUS PADA WAJIB PAJAK RESTORAN)",Penulis : Rionaldi Betananda Putra,"Dosen Pembimbing I : Nurul Kompyurini, S.E., M.Ak., Ak., CA","Dosen Pembimbing II :Gita Arasy Harwida, S.E.,MTax., Ak., QIA.CA","ABSTRAK

Rionaldi Betananda Putra, Penelitian ini berjudul âPengaruh Keadilan Pajak, Sistem Perpajakan, dan Diskriminasi terhadap Tindakan Tax Evasion (Studi Kasus Pada Wajib Pajak Restoran di Kabupaten Bangkalan)â. Dibawah bimbingan Nurul Kompyurini, S.E., M. Ak., Ak., CA dan Gita Arasy Harwida, SE., MTax., Ak., QIA. CA.

Tujuan penelitian ini untuk mengetahui pengaruh keadilan pajak, sistem perpajakan, dan diskriminasi terhadap tindakan tax evasion dengan studi kasus pada Wajib Pajak Restoran di Kabupaten Bangkalan.

Pendekatan yang digunakan dalam penelitian ini adalah kuantitatif. Populasi dari penelitian ini adalah wajib pajak untuk pajak restoran di Kabupaten Bangkalan yang berjumlah 168. Pengambilan sampel menggunakan Purposive Sampling dan dihitung dengan menggunakan rumus Slovin sehingga sampel berjumlah 63 restoran. Teknik pengumpulan data melalui penyebaran kuesioner. Teknik analisis data dalam pengujian hipotesis menggunakan Analisis Regresi Linear Berganda.

Berdasarkan hasil pengujian yang telah dilakukan, maka diperoleh simpulan bahwa keadilan pajak dan diskriminasi berpengaruh positif, sedangkan sistem perpajakan berpengaruh negatif terhadap tindakan tax evasion.

Kata kunci : pengaruh, keadilan pajak, sistem perpajakan, diskriminasi,  tax evasion, wajib pajak restoran."
Perbandingan Penerapan Metode Tradisional dan Metode Just In Time atas Biaya Persediaan CV Faris Garment,Penulis : Wachyu Septanu Agitama,"Dosen Pembimbing I : Anita Carolina, S.E., MBusAdv., Ak., QIA., CA","Dosen Pembimbing II :Nurul Kompyurini, S.E., M.Ak., Ak., CA",
"PENGARUH PERENCANAAN PAJAK DAN PAJAK PENGHASILAN
TERHADAP MANAJEMEN LABA PADA PERUSAHAAN MANUFAKTUR 
YANG TERDAFTAR DI BURSA EFEK INDONESIA
",Penulis : MOCH ZAKKY HIDAYAT ,"Dosen Pembimbing I : Junaidi, SE, M.Si, AK., CA","Dosen Pembimbing II :Nurul Kompyurini, SE., MAK., AK., CA","Penelitian ini bertujuan untuk menguji pengaruh perencanaan pajak  dan
pajak penghasilan terhadap manajemen laba pada perusahaan manufaktur yang
terdaftar di Bursa Efek Indonesia. Sampel peneltian ini adalah seluruh
perusahaan manufaktur yang terdaftar di BEI tahun 2012-2014 dengan
menggunakan metode simple random sampling sebanyak 84 perusahaan. Data
yang digunakan dalam penelitian ini yaitu data berdasarkan laporan keuangan
tahunan yang diperoleh melalui situs www.idx.co.id. Metode pengambilan sampel
dengan menggunakan simple random sampling dan metode analisis data
menggunakan regresi linear berganda. Hasil penelitian ini menunjukkan bahwa
perencanaan pajak memiliki pengaruh positif dan signifikan terhadap manajemen
laba, sedangkan pajak penghasilan tidak berpengaruh signifikan terhadap
manajemen laba. 
Kata kunci: perencanaan pajak, pajak penghasilan, manajemen laba.
"
"PENGARUH OPERATING LIQUIDITY TERHADAP RETURN ON ASSET 

(Studi Kasus pada Perusahaan Jasa Sektor Property dan Real Estate yang Terdaftar di BEI Periode 2012-2015)
",Penulis : RICKY RIOTA ARIFITANTO,"Dosen Pembimbing I : Anita Carolina, S.E., Mbusadv., Ak., QIA., CA ","Dosen Pembimbing II :Junaidi, S.E., M.Si., Ak., CA ","Ricky, Riota Arifitanto. 2017. 
Pengaruh Operating Liquidity Terhadap Return On Asset. 
Skripsi. Progam Studi Akuntansi, Universitas Trunojoyo Madura.  

Return On Asset (ROA) digunakan untuk mengukur efisiensi dan efektifitas perusahaan didalam menghasilkan keuntungan dengan memanfaatkan aktiva yang dimilikinya. Semakin besar Return On Asset (ROA) menunjukkan kinerja yang semakin baik, karena tingkat kembalian (return) semakin besar. Apabila Return On Asset (ROA) meningkat, berarti profitabilitas perusahaan meningkat, sehingga dampak akhirnya adalah profitabilitas yang dinikmati oleh pemegang saham. Tujuan yang ingin dicapai dalam penelitian ini untuk mengetahui pengaruh cash conversion, current ratio, operating cash flow margin, liquid ratio, dan comprehensive liquidity index terhadap ROA.
Desain penelitian dengan metode asosiatif dengan hubungan kausal. Populasi dalam penelitian ini adalah perusahaan jasa sektor property dan real estate yang terdaftar di Bursa Efek Indonesia tahun 2012 â 2015. teknik purposive sampling digunakan sebagai metode pengambilan sampel. Teknik analisis data yang digunakan adalah analisis regresi linier berganda.

Kata Kunci : Profitabilitas (Return On Asset), Liquidity (Cash Conversion Cycle, Current Ratio, Operating Cash Flow Margin, Liquid Ratio, Comprehensive Liquidity Index)



"
Analisis Abnormal Return dan Volume Perdagangan saham sebelum dan sesudah pemecahan saham pada perusahaan yang terdaftar di BEI periode 2012-2015,Penulis : M Zainul Abidin,"Dosen Pembimbing I : Junaidi, S.E., M.Si., Ak. CA","Dosen Pembimbing II :Adi Darmawan Ervanto, SE., MA., AK., CA.","M Zainul Abidin, Analisis Abnormal Return dan Volume Perdagangan saham sebelum dan sesudah pemecahan saham pada perusahaan yang terdaftar di BEI periode 2012-2015. Dibawah bimbingan Junaidi, S.E., M.Si., Ak. CA dan Adi Darmawan Ervanto, SE., MA., AK., CA.

Penelitian ini bertujuan untuk menganalisis abnormal return saham, volume perdagangan saham sebelum dan sesudah peristiwa pemecahan saham (Stock Split) di Bursa Efek Indonesia (BEI). 
Dengan memperoleh sampel 26 perusahaan pada periode pengamatan 20012-2015. Dalam penelitian ini variabel independennya adalah pengumuman Stock Split, dan variabel dependennya adalah abnormal return saham dan volume perdagangan saham. Metode yang digunakan dalam penelitian ini adalah event study. Periode penelitian selama 81 hari, yang dibagi menjadi dua periode yaitu periode estimasi selama 60 hari dan periode peristiwa selama 21 hari termasuk 10 hari sebelum, 1 hari event, dan 10 hari sesudah event. Sedangkan alat uji yang digunakan adalah Uji wilcoxon signed-rank dan uji statistik paired sample t-test. Pengujian hipotesis dalam penelitian ini diuji dengan menggunakan SPSS versi 21. 
Hasil penelitian menunjukkan bahwa terdapat perbedaan yang signifikan pada abnormal return saham sebelum dan sesudah Stock Split, tidak ada perbedaan volume perdagangan sebelum dan sesudah Stock Split. 
Kata kunci : stock split, abnormal return, volume perdagangan.
"
Faktor-faktor yang memengaruhi keputusan perusahaan melakukan transfer pricing (Studi Empiris pada perusahaan Manufaktur yang terdaftar di Bursa Efek Indonesia tahun 2011-2015).,Penulis :  Fikrul Lubab,"Dosen Pembimbing I : Dr. Prasetyono, S.E., M.Si","Dosen Pembimbing II :Emi Rahmawati, S.E., M.Si","Lubab, Fikrul. 201 7. Faktor-faktor yang memengaruhi keputusan perusahaan melakukan
transfer pricing. Program Studi Akuntansi, Universitas Trunojoyo Madura. Pembimbing 1 :
Dr. Prasetyono, S.E., M.Si, Pembimbing 2 : Emi Rahmawati, S.E., M.Si
Tujuan dalam penelitian ini yaitu untuk menguji pengaruh pajak, bonus plan,
tunneling incentive, debt covenant dan exchange rate pada perusahaan melakukan
keputusan transfer pricing. Transfer pricing pada umumnya digunakan oleh perusahaan
untuk menghindari pembayaran pajak.
Penelitian ini menggunakan 30 perusahaan manufaktur yang tercatat di Bursa Efek
Indonesia periode 201 1 -2015 dengan total observasi 150. Data penelitian ini menggunakan
metode analisis regresi logistik untuk menguji hipotesisnya. Dengan koefisien determinasi
sebesar 13,2% yang berarti transfer pricing dipengaruhi oleh variabel tersebut dan 86,8%
dipengaruhi oleh variabel lain di luar penelitian yang tidak termasuk dalam penelitian ini.
Hasil penelitian ini membuktikan bahwa pajak, debt covenant, tunneling incentive
dan exchange rate tidak berpengaruh terhadap keputusan transfer pricing, sedangkan
bonus plan berpengaruh terhadap keputusan transfer pricing.
Kata Kunci : pajak, bonus plan, tunneling incentive, debt covenant dan exchange rate."
"Stabilitas Perbankan Syariah Pasca Krisis Global 2008; Studi Komparasi Tiga Negara (Indonesia, Inggris, dan Iran)",Penulis : Ahmad Hambali,"Dosen Pembimbing I : Prof. Dr. Nizarul Alim, S.E., M.Si., Ak., CA","Dosen Pembimbing II :Anita Carolina, S.E., M.BusAdv., Ak., QiA., CA","Banyak studi sebelumnya telah membahas secara teoritis relevansi prinsip keuangan Islam dan instrumen dalam mencapai stabilitas keuangan di bawah situasi keuangan yang berbeda. Namun lebih banyak penelitian tersebut terfokus pada negara-negara dengan sistem keuangan Islam yang kuat seperti negara-negara teluk. Penelitian ini bertujuan membandingkan stabilitas perbankan syariah di tiga negara dengan sistem keuangan syariah yang berbeda-beda selama sepuluh tahun (2004-2014) yang dibagi ke dalam tiga periode yakni sebelum, selama, dan setelah krisis global 2008. Tiga negara tersebut adalah Indonesia, Inggris, dan Iran.
 Pengujian hipotesis menggunakan uji beda berupa ANOVA dan Kruskal Wallis. Penelitian ini menghasilkan beberapa temuan antara lain; (i) tidak terdapat perbedaan antara ketiga negara dalam rasio profitabilitas, kecukupan modal, risiko likuiditas, dan pertumbuhan aset sebelum, selama, dan setelah krisis; dan (ii) terdapat perpedaan dalam rasio efisiensi oprasional pada Indonesia sebelum, selama, dan setelah krisis. Namun perbedaannya menunjukkan hal yang positif.

Kata Kunci: Krisis Global, Stabilitas, Perbankan Syariah"
ANALISIS PERBEDAAN PERSEPSI KARAKTERISTIK KEPATUHAN MEMBAYAR PAJAK DAERAH PADA PERUSAHAAN PERTAMBANGAN MINERAL BUKAN LOGAM DAN BATUAN DI KABUPATEN BANGKALAN DAN SAMPANG,Penulis : RIZQY AMALIA,Dosen Pembimbing I : Junaidi,Dosen Pembimbing II :Gita Arasy Harwida,"Tujuan penelitian ini untuk mengetahui perbedaan persepsi karakteristik kepatuhan membayar pajak daerah perusahaan pertambangan mineral bukan logam dan batuan di Kabupaten Bangkalan dan Sampang dengan menggunakan variabel Theory of Planned Behavior dan menambahkan variabel kewajiban moral. Sampel yang digunakan dalam penelitian ini yaitu 10 responden (5 responden dari Kabupaten Bangkalan dan 5 responden dari Kabupaten Sampang). Data diperoleh dengan membagikan kuisioner. Analisis data yang digunakan dalam penelitian ini yaitu statistik deskriptif dan uji kualitas data, sedangkan untuk menentukan hipotesis digunakan uji mann whitney.
 Hasil uji mann whitney menunjukkan bahwa terdapat perbedaan persepsi pada karakteristik norma subjektif dan kontrol keperilakuan pada wajib pajak daerah perusahaan pertambangan mineral bukan logam dan batuan di Kabupaten Bangkalan dan Sampang. Sedangkan untuk karakteristik sikap, kewajiban moral serta kepatuhan wajib pajak tidak terdapat perbedaan antara wajib pajak daerah perusahaan pertambangan mineral bukan logam dan batuan di Kabupaten Bangkalan dan Sampang.
Kata kunci :  Pertambangan Mineral Bukan Logam dan Batuan, Theory of Planned Behavior, Kewajiban Moral, Mann Whitney, pajak daerah
"
"PENGARUH KOMISARIS INDEPENDEN, KOMITE AUDIT, KEPEMILIKAN MANAJERIAL, DAN KUALITAS AUDIT TERHADAP NILAI PERUSAHAAN
(Studi Pada Perusahaan Manufaktur yang Terdaftar di Bursa Efek Indonesia Tahun 2012-20",Penulis : Naufal Ula,"Dosen Pembimbing I : Dr. Siti Musyarofah, S.E., M.Si., Ak., CA","Dosen Pembimbing II :Junaidi, S.E., M.Si., Ak., CA","Penelitian ini bertujuan untuk memberikan bukti empiris mengenai pengaruh komisaris independen, komite audit, kepemilikan manajerial, dan kualitas audit terhadap nilai perusahaan. Sampel dalam penelitian ini menggunakan perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia periode 2012-2015. Berdasarkan hasil purposive sampling diperoleh 413 perusahaan manufaktur yang memenuhi kriteria sampel. Pengujian dilakukan dengan menggunakan analisis regresi berganda.
Hasil pengujian hipotesis menunjukkan bahwa komite audit dan kualitas audit berpengaruh positif terhadap nilai perusahaan, kepemilikan manajerial berpengaruh negatif terhadap nilai perusahaan, sedangkan komisaris independen tidak berpengaruh terhadap nilai perusahaan.

Kata kunci: komisaris independen, komite audit, kepemilikan manajerial, kualitas audit, nilai perusahaan, kapitalisasi pasar.
"
Evaluasi Sistem Pengendalian Intern (SPI) Pada Pembiayaan Murabahah Pada BMT NU Cabang Pragaan,Penulis : Arina Balilah,"Dosen Pembimbing I : Robiatul Auliyah, S.E., MSA ","Dosen Pembimbing II :Achdiar Redy Setiawan, S.E., MSA., AK., CA.","Arina Balilah, Evaluasi Sistem Pengendalian Intern (SPI) Pada Pembiayaan Murabahah Pada BMT NU Cabang Pragaan. Dibawah bimbingan Robiatul Auliyah, S.E., MSA dan Achdiar Redy Setiawan, S.E., MSA., AK., CA.
Tujuan dari penelitian ini adalah untuk memahami dan mendeskripsikan sistem pengendalian intern (SPI) pada pembiayaan murabahah. Penelitian ini menggunakan jenis penelitian kualitatif dengan pendekatan deskriptif. Teknik pengumpulan data yaitu: observasi, wawancara tidak terstruktur dan dokumentasi. Adapun alat analisis yang digunakan dalam penelitian ini adalah lima kompenen dalam COSO yaitu: lingkungan pengendalian, penilaian risiko, aktivitas pengendalian, informasi dan komunikasi, serta pemantauan. 
Berdasarkan hasil penelitian menyatakan bahwa, sistem pengendalian intern di BMT NU Cabang Pragaan sudah berjalan dengan baik. Hal ini dapat dilihat dari adanya  penilaian pengajuan pembiayaan untuk mengidentifikasi adanya risiko setelah pembiayaan disetujui. Perangkapan dokumen yang dilakukan oleh bagian keuangan, pemantaun yang langsung dilakukan oleh pusat untuk melihat apakah prosedur sudah dijalankan sesuai dengan ketentuan pusat. Dan apabila ada permasalah dilakukan evaluasi atas permasalahan tersebut.

Kata kunci: COSO, SPI, Pembiayaan Murabahah.

"
"PENGARUH SIKAP INDIVIDU, BUDAYA, LINGKUNGAN SOSIAL, DAN ETIKA TERHADAP KEPATUHAN MELAKSANAKAN KEWAJIBAN PERPAJAKAN
(Studi WPOP Usahawan yang terdaftar di Kantor Pelayanan Pajak Pratama  Blitar)
",Penulis : purwati pia indahsari,"Dosen Pembimbing I : Gita Arasy Harwida,S,E.,M.tax..Ak.,QIA,. CA","Dosen Pembimbing II :Emi Rahmawati, S.E.,M.Si","Pemerintah hingga saat ini masih menggandalkan penerimaaan dari pajak sebagai sumber dana pembangunan yang utama, agar pencapaiaan target penerimaan pajak dapat tercapai maka wajib pajak diharapkan memiliki kepatuhan perpajakan yang tinggi. Namun, realita mengungkapkan masih adanya wajib pajak yang belum melaksanakan kewajiban perpajakannya dikarenakan beberapa faktor, diantaranya adalah faktor sikap individu wajib pajak, budaya wajib pajak, lingkungan sosial wajib pajak dan etika wajib pajak. Tujuan penelitian ini adalah untuk mengetahui pengaruh sikap individu, budaya, lingkungan sosial dan etika secara parsial dan bersama-sama terhadap kepatuhan melaksanakan kewajiban perpajakan (Studi WPOP Usahawan Yang Terdaftar di Kantor Pelayanan Pajak Pratama Blitar). Teknik pengambilan sampel menggunakan purposive sampling dengan 100 responden. Metode analisis menggunakan analisis regresi linier berganda. Berdasarkan hasil uji simultan bahwa sikap individu, budaya, lingkungan sosial, dan etika secara bersama-sama  berpengaruh terhadap kepatuhan wajib pajak orang pribadi usahawan. Hasil uji t, secara parsial variabel sikap individu, budaya, lingkungan sosial berpengaruh terhadap kepatuhan wajib pajak orang pribadi usahawan. Namun, variabel etika tidak berpengaruh terhadap kepatuhan wajib pajak orang pribadi usahawan. Saran bagi mahasiswa yang tertarik dengan kajian dibidang yang sama dapat menggunakan variabel-variabel yang tidak digunakan dalam peneltian ini, hal ini dapat dilakukan karena nilai koefisien determinasi dalam penelitian ini masih bisa ditingkatkan lagi dengan adanya perubahan variabel bebas"
PENGARUH MODEL ZAVGREN (LOGIT)TERHADAP RETURN SAHAM PADA PERUSAHAAN MANUFAKTUR 2013-2014,Penulis : DEKY PUTRO HARJONO,"Dosen Pembimbing I : Junaidi,S.E.,M.Si.,Ak.CA","Dosen Pembimbing II :Adi Darmawan Ervanto, SE.,MA.,AK.,CA","Persaingan ketat di era globalisasi ini memaksa perusahaan berusaha lebih kuat dalam mempertahankan keberlangsungan usahanya. Persaingan yang ketat antar  perusahaan ini, terkadang dapat menaikkan dan menurunkan jumlah laba perusahaan. Periode penelitian ini dari tahun 2013 sampai 2015 pada perusahaan manufaktur yang terdaftar dalam Bursa Efek Indonesia. Perusahaan manufaktur dipilih karena menurut peneliti perusahaan-perusahaan manufaktur ini mampu mengelola sumber daya dan menghasilkan profit yang besar bagi perusahaan maupun negara, jadi kemungkinan besar juga banyak investor yang menaruh sahamnya di perusahaan-perusahaan manufaktur tersebut.
Penelitian ini bertujuan untuk menguji pengaruh Model Zavgren (logit) terhadap return saham. Sampel peneltian ini adalah seluruh perusahaan manufaktur yang terdaftar di BEI tahun 2013-2015 dengan menggunakan metode purposive sampling sebanyak 12 perusahaan. Data yang digunakan dalam penelitian ini yaitu data berdasarkan laporan keuangan tahunan yang diperoleh melalui situs www.idx.co.id dan finance.yahoo.com. Metode analisis data menggunakan regresi linear berganda. Hasil penelitian ini menunjukkan bahwa rasio INV berpengaruh terhadap return saham,Rec tidak berpengaruh terhadap return saham, Cash tidak berpengaruh terhadap return saham, ROI, tidak berpengaruh terhadap return saham,Debt tidak berpengaruh terhadap return saham,sedangkan Turn tidak berpengaruh terhadap return saham.
Kata Kunci: Zavgren (Logit) , Return Saham."
